seconds,perf_rapl,energy_ram,retired_instructions,ipmi,rapl_uj,rapl_uj_diff,minute,second,rapl_pw,load_avg_1minute,cpu_pct,cpu_pct_process,x_rest
2703,64.31,34.73,14060879343.0,233.0,278577331782.0,94750050.0,1.9523168833333335,117.0,102.69495,7.1,15.0,4.1,168.69
2704,73.26,35.03,30555834396.0,218.0,278672081832.0,109091928.0,1.9689900999999999,118.0,94.75005,7.1,15.0,4.1,144.74
2705,91.82,35.37,48542933440.0,211.0,278781173760.0,134950350.0,1.9856588,119.0,109.091928,7.49,24.0,4.1,119.18
2706,93.85,35.85,47133820197.0,211.0,278916124110.0,137791740.0,2.0023282333333334,120.0,134.95035,7.49,24.0,4.1,117.15
2707,85.44,35.82,38433407006.0,220.0,279053915850.0,125293197.0,2.018990533333333,121.0,137.79174,7.49,27.0,4.1,134.56
2708,85.04,35.18,39271803088.0,229.0,279179209047.0,125004465.0,2.03567695,122.0,125.293197,7.49,27.0,4.1,143.95999999999998
2709,86.25,34.52,43340643215.0,233.0,279304213512.0,126982446.0,2.0523501666666664,123.0,125.004465,7.49,24.0,4.1,146.75
2710,94.15,35.36,51663580786.0,232.0,279431195958.0,139143954.0,2.0690208,124.0,126.982446,7.49,24.0,4.1,137.85
2711,104.82,36.08,60575377718.0,238.0,279570339912.0,153620800.0,2.085682283333333,125.0,139.143954,7.69,32.0,4.1,133.18
2712,111.33,35.56,69072959259.0,246.0,279723960712.0,164434557.0,2.1023674833333335,126.0,153.6208,7.69,32.0,4.1,134.67000000000002
2713,108.85,35.98,65082562111.0,254.0,279888395269.0,159339206.0,2.119035133333333,127.0,164.434557,7.69,40.0,4.1,145.15
2714,82.93,33.87,38924160974.0,258.0,280047734475.0,120813357.0,2.13572275,128.0,159.339206,7.69,40.0,4.1,175.07
2715,69.73,33.43,24130793670.0,252.0,280168547832.0,102521568.0,2.1523964666666666,129.0,120.813357,7.4,17.0,4.1,182.26999999999998
2716,85.02,36.06,31732206926.0,218.0,280271069400.0,124972371.0,2.1690684,130.0,102.521568,7.4,17.0,4.1,132.98000000000002
2717,82.32,34.35,37863205046.0,210.0,280396041771.0,121397125.0,2.185739633333333,131.0,124.972371,7.4,23.0,4.1,127.68
2718,94.03,35.16,50730525556.0,230.0,280517438896.0,138306428.0,2.202407033333333,132.0,121.397125,7.4,23.0,4.1,135.97
2719,99.84,36.77,53829359604.0,239.0,280655745324.0,147109536.0,2.2190962833333336,133.0,138.306428,7.4,32.0,4.1,139.16
2720,99.05,36.93,49181248677.0,247.0,280948508919.0,165821479.0,2.2524469000000003,135.0,145.654059,7.4,32.0,4.1,147.95
2721,112.91,38.56,61883654372.0,248.0,281114330398.0,150759441.0,2.2691244833333335,136.0,165.821479,7.45,39.0,4.1,135.09
2722,102.31,36.36,58305134883.0,251.0,281265089839.0,177406335.0,2.2858035833333332,137.0,150.759441,7.45,39.0,4.1,148.69
2723,120.63,37.37,78461214622.0,263.0,281442496174.0,178455936.0,2.3024882,138.0,177.406335,7.45,44.0,4.2,142.37
2724,121.19,37.22,78337156865.0,239.0,281620952110.0,166588568.0,2.3191716833333333,139.0,178.455936,7.45,44.0,4.2,117.81
2725,113.5,36.71,70910317574.0,259.0,281787540678.0,152696691.0,2.3358551666666667,140.0,166.588568,7.89,47.0,4.2,145.5
2726,104.05,36.34,54384838700.0,255.0,281940237369.0,142252431.0,2.3525409833333333,141.0,152.696691,7.89,47.0,4.2,150.95
2727,96.77,34.96,55631484353.0,247.0,282082489800.0,139619064.0,2.3692091666666664,142.0,142.252431,7.89,33.0,4.2,150.23000000000002
2728,94.83,35.75,49835614720.0,239.0,282222108864.0,135035392.0,2.3858968333333332,143.0,139.619064,7.89,33.0,4.2,144.17000000000002
2729,92.0,35.89,47708435054.0,239.0,282357144256.0,152667440.0,2.4025655,144.0,135.035392,7.89,29.0,4.2,147.0
2730,103.75,37.63,59452678488.0,244.0,282509811696.0,128856628.0,2.4192542333333336,145.0,152.66744,7.89,29.0,4.2,140.25
2731,87.81,35.59,44050036066.0,253.0,282638668324.0,142519334.0,2.4359248166666663,146.0,128.856628,8.14,35.0,4.2,165.19
2732,96.82,36.64,50425331247.0,256.0,282781187658.0,142515946.0,2.452592983333333,147.0,142.519334,8.14,35.0,4.2,159.18
