timestamp,sensor,target,socket,cpu,RAPL_ENERGY_PKG,time_enabled,time_running
1692823148262,sensor,all,0,21,395986862080,86210941419,86210941419
1692823148262,sensor,all,1,38,282093682688,86210933192,86210933192
1692823149266,sensor,all,0,21,363454267392,87215231598,87215231598
1692823149266,sensor,all,1,38,296049704960,87215295382,87215295382
1692823150270,sensor,all,0,21,384117768192,88219403572,88219403572
1692823150270,sensor,all,1,38,278491037696,88219484632,88219484632
1692823151274,sensor,all,0,21,357405032448,89223152282,89223152282
1692823151274,sensor,all,1,38,270371127296,89223150013,89223150013
1692823152277,sensor,all,0,21,385857880064,90226201336,90226201336
1692823152277,sensor,all,1,38,278927507456,90226196659,90226196659
1692823153281,sensor,all,0,21,378564247552,91229924384,91229924384
1692823153281,sensor,all,1,38,243263078400,91229925353,91229925353
1692823154285,sensor,all,0,21,357094916096,92233197255,92233197255
1692823154285,sensor,all,1,38,266821959680,92233193518,92233193518
1692823155288,sensor,all,0,21,346727645184,93236306953,93236306953
1692823155288,sensor,all,1,38,272836329472,93236301947,93236301947
1692823156292,sensor,all,0,21,381853630464,94240906302,94240906302
1692823156292,sensor,all,1,38,318523572224,94240905162,94240905162
1692823157296,sensor,all,0,21,400905732096,95244660695,95244660695
1692823157296,sensor,all,1,38,302353743872,95244658108,95244658108
1692823158300,sensor,all,0,21,360576188416,96249414362,96249414362
1692823158300,sensor,all,1,38,353948139520,96249407749,96249407749
1692823159304,sensor,all,0,21,426110091264,97252450419,97252450419
1692823159304,sensor,all,1,38,343473127424,97252445894,97252445894
1692823160308,sensor,all,0,21,467745112064,98255953473,98255953473
1692823160308,sensor,all,1,38,340061585408,98255948001,98255948001
1692823161312,sensor,all,0,21,452790321152,99259183278,99259183278
1692823161312,sensor,all,1,38,328441790464,99259174437,99259174437
1692823162315,sensor,all,0,21,471110516736,100263663036,100263663036
1692823162315,sensor,all,1,38,324212621312,100263659743,100263659743
1692823163319,sensor,all,0,21,460019466240,101267935000,101267935000
1692823163319,sensor,all,1,38,301248020480,101267931743,101267931743
1692823164322,sensor,all,0,21,428553535488,102270526915,102270526915
1692823164322,sensor,all,1,38,288949534720,102270530518,102270530518
1692823165326,sensor,all,0,21,346404159488,103273206270,103273206270
1692823165326,sensor,all,1,38,288210812928,103273201759,103273201759
1692823166329,sensor,all,0,21,358987857920,104277748911,104277748911
1692823166329,sensor,all,1,38,277617049600,104277746763,104277746763
1692823167333,sensor,all,0,21,346481754112,105281032767,105281032767
1692823167333,sensor,all,1,38,312614584320,105281028180,105281028180
1692823168336,sensor,all,0,21,348182544384,106284490759,106284490759
1692823168336,sensor,all,1,38,288231522304,106284486989,106284486989
1692823169340,sensor,all,0,21,340836220928,107287719031,107287719031
1692823169340,sensor,all,1,38,318452269056,107287717423,107287717423
1692823170343,sensor,all,0,21,376636178432,108291303255,108291303255
1692823170343,sensor,all,1,38,308145553408,108291300495,108291300495
1692823171347,sensor,all,0,21,445108453376,109294386851,109294386851
1692823171347,sensor,all,1,38,309895626752,109294381223,109294381223
1692823172350,sensor,all,0,21,491055742976,110297648109,110297648109
1692823172350,sensor,all,1,38,304844898304,110297645150,110297645150
1692823173353,sensor,all,0,21,442271531008,111301005147,111301005147
1692823173353,sensor,all,1,38,298057728000,111300999919,111300999919
1692823174357,sensor,all,0,21,460636028928,112305212479,112305212479
1692823174357,sensor,all,1,38,294490734592,112305208587,112305208587
1692823175361,sensor,all,0,21,347950022656,113309889849,113309889849
1692823175361,sensor,all,1,38,257587412992,113309894718,113309894718
1692823176364,sensor,all,0,21,346574028800,114313927073,114313927073
1692823176364,sensor,all,1,38,286361649152,114313965947,114313965947
1692823177368,sensor,all,0,21,364600623104,115316342474,115316342474
1692823177368,sensor,all,1,38,265429975040,115316338431,115316338431
1692823178371,sensor,all,0,21,337181933568,116320277823,116320277823
1692823178371,sensor,all,1,38,244154105856,116320274554,116320274554
1692823179375,sensor,all,0,21,357707808768,117322842400,117322842400
1692823179375,sensor,all,1,38,231527940096,117322839963,117322839963
1692823180379,sensor,all,0,21,366726086656,118327842523,118327842523
1692823180379,sensor,all,1,38,250781630464,118327842580,118327842580
1692823181382,sensor,all,0,21,323809181696,119331364089,119331364089
1692823181382,sensor,all,1,38,262470631424,119331366380,119331366380
1692823182387,sensor,all,0,21,392273068032,120335227705,120335227705
1692823182387,sensor,all,1,38,264563326976,120335226033,120335226033
1692823183390,sensor,all,0,21,382715559936,121339199653,121339199653
1692823183390,sensor,all,1,38,318046994432,121339201544,121339201544
1692823184394,sensor,all,0,21,373252161536,122343500918,122343500918
1692823184394,sensor,all,1,38,316230336512,122343500933,122343500933
1692823185398,sensor,all,0,21,365293207552,123347378059,123347378059
1692823185398,sensor,all,1,38,329581854720,123347373940,123347373940
