seconds,perf_rapl,energy_ram,retired_instructions,igpm,voltage,current,power_factor,discard,rapl_uj,rapl_uj_diff,minute,second,rapl_pw,load_avg_1minute,cpu_pct,cpu_pct_process,x_rest
65193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65195,31.47,,,47.87582730743935,121.76,0.50468,0.9735,0.0,162468399504.0,23164608.0,1.4861283333333333,89.0,32.737452,3.53,19.0,2.1,16.405827307439353
65196,34.85,,,56.097569836516186,121.81,0.43979,0.958,0.0,162491564112.0,25025988.0,1.5028048,90.0,23.164608,3.53,19.0,2.1,21.247569836516185
65197,24.16,,,39.32077231774753,121.92,0.45648,0.8251,0.0,162516590100.0,17514324.0,1.5194824833333334,91.0,25.025988,3.53,11.0,2.1,15.160772317747533
65198,40.85,,,65.87033093349119,121.71,0.64268,0.9769,0.0,162534104424.0,30847036.0,1.5361618833333333,92.0,17.514324,3.53,11.0,2.1,25.020330933491188
65199,28.65,,,82.33638435713124,121.5,0.85663,0.9794,0.0,162564951460.0,21056156.0,1.5528450666666667,93.0,30.847036,3.49,16.0,2.1,53.68638435713124
65200,29.21,,,88.92501088414721,121.68,0.70195,0.9776,0.0,162586007616.0,20866200.0,1.5695156,94.0,21.056156,3.49,16.0,2.1,59.71501088414721
65201,34.6,,,79.40218241328374,121.7,0.63955,0.9648,0.0,162606873816.0,25461100.0,1.5861947,95.0,20.8662,3.49,12.0,2.0,44.80218241328374
65202,38.69,,,57.06676599742943,121.87,0.41176,0.9649,0.0,162632334916.0,29049116.0,1.6028748499999999,96.0,25.4611,3.49,12.0,2.0,18.37676599742943
65203,32.8,,,62.03265001598281,121.77,0.57246,0.9755,0.0,162661384032.0,23392788.0,1.6195538833333332,97.0,29.049116,3.29,14.0,2.0,29.232650015982813
65204,15.76,,,76.17172186883748,121.62,0.70468,0.9798,0.0,162684776820.0,13715370.0,1.63623385,98.0,23.392788,3.29,14.0,2.0,60.41172186883748
65205,4.91,,,73.16243012070788,121.69,0.65077,0.9768,0.0,162698492190.0,3532943.0,1.6529257666666666,99.0,13.71537,3.29,4.0,2.0,68.25243012070788
65206,31.16,,,64.10590517198196,121.85,0.47461,0.9642,0.0,162702025133.0,21000559.0,1.6696005,100.0,3.532943,3.29,4.0,2.0,32.94590517198196
65207,37.73,,,41.23791893179287,121.9,0.4281,0.9629,0.0,162723025692.0,28436662.0,1.6862607833333334,101.0,21.000559,3.29,15.0,2.0,3.5079189317928723
65208,17.88,,,52.887550535523474,121.83,0.46505,0.9577,0.0,162751462354.0,12996686.0,1.70293955,102.0,28.436662,3.29,15.0,2.0,35.00755053552348
65209,45.1,,,62.622705183579185,121.67,0.57435,0.9752,0.0,162764459040.0,31888176.0,1.7196205833333333,103.0,12.996686,3.11,14.0,2.0,17.522705183579184
65210,52.14,,,68.70983291457738,121.56,0.62134,0.9718,0.0,162796347216.0,36912587.0,1.7362953333333333,104.0,31.888176,3.11,14.0,2.0,16.569832914577376
65211,60.29,,,65.15489778279002,121.75,0.54122,0.9728,0.0,162833259803.0,45690181.0,1.7529652166666667,105.0,36.912587,3.11,49.0,2.0,4.864897782790017
65212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65213,30.54,,,66.07669835330125,121.74,0.61578,0.9775,0.0,162916097592.0,23185464.0,1.7863133666666668,107.0,37.147608,2.94,26.0,2.0,35.536698353301254
65214,38.2,,,66.26337157462763,121.85,0.46313,0.9546,0.0,162939283056.0,27389280.0,1.80299645,108.0,23.185464,2.94,26.0,2.0,28.063371574627624
65215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65216,44.3,,,50.00846901814785,121.85,0.45659,0.9473,0.0,163002728784.0,32771220.0,1.83633935,110.0,36.056448,2.94,22.0,2.0,5.708469018147852
65217,38.98,,,55.4891462112573,121.76,0.53523,0.9741,0.0,163035500004.0,29967375.0,1.8530135166666668,111.0,32.77122,2.94,25.0,2.0,16.509146211257303
65218,13.93,,,68.76499390532288,121.69,0.65512,0.97,0.0,163065467379.0,10227993.0,1.8696888833333332,112.0,29.967375,2.94,25.0,2.0,54.83499390532288
65219,34.24,,,61.714261436668025,121.93,0.39354,0.963,0.0,163075695372.0,24943416.0,1.886368,113.0,10.227993,2.7,8.0,2.0,27.474261436668023
65220,39.35,,,40.50860627094399,122.08,0.27205,0.6965,0.0,163100638788.0,28283244.0,1.9030510333333335,114.0,24.943416,2.7,8.0,2.0,1.1586062709439915
65221,44.63,,,51.187071865653664,121.62,0.64978,0.9786,0.0,163128922032.0,32234892.0,1.9197263333333334,115.0,28.283244,2.7,21.0,2.0,6.557071865653661
65222,41.22,,,60.40350235494344,121.69,0.56569,0.9739,0.0,163161156924.0,30817260.0,1.9363971333333334,116.0,32.234892,2.7,21.0,2.0,19.183502354943442
65223,27.76,,,71.19287951542192,121.67,0.59972,0.9752,0.0,163191974184.0,22782876.0,1.95307,117.0,30.81726,2.57,17.0,2.0,43.43287951542192
