,consumption,timestamp,exe,pid,container
339,0.0,1693268552,cpuhp/3,28.0,
340,0.0,1693268552,idle_inject/3,29.0,
341,36491680.0,1693268554,,,
342,29497440.0,1693268554,scaphandre,1297803.0,
343,1824583.0,1693268554,htop,1026882.0,
344,1216389.0,1693268554,ilúvatar_worke,1297132.0,
345,304097.0,1693268554,rcu_sched,11.0,
346,304097.0,1693268554,ksoftirqd/8,61.0,
347,304097.0,1693268554,kworker/9:2-mm_percpu_wq,1290081.0,
348,304097.0,1693268554,perf,1297708.0,
349,304097.0,1693268554,hwpc-sensor,1297777.0,
350,0.0,1693268554,systemd,1.0,
351,0.0,1693268554,kthreadd,2.0,
352,0.0,1693268554,rcu_gp,3.0,
353,0.0,1693268554,rcu_par_gp,4.0,
354,0.0,1693268554,kworker/0:0H-kblockd,6.0,
355,0.0,1693268554,mm_percpu_wq,9.0,
356,0.0,1693268554,ksoftirqd/0,10.0,
357,0.0,1693268554,migration/0,12.0,
358,0.0,1693268554,idle_inject/0,13.0,
359,0.0,1693268554,cpuhp/0,15.0,
360,0.0,1693268554,cpuhp/1,16.0,
361,0.0,1693268554,idle_inject/1,17.0,
362,0.0,1693268554,migration/1,18.0,
363,0.0,1693268554,ksoftirqd/1,19.0,
364,0.0,1693268554,kworker/1:0H-kblockd,21.0,
365,0.0,1693268554,cpuhp/2,22.0,
366,0.0,1693268554,idle_inject/2,23.0,
367,0.0,1693268554,migration/2,24.0,
368,0.0,1693268554,ksoftirqd/2,25.0,
369,0.0,1693268554,kworker/2:0H-kblockd,27.0,
370,0.0,1693268554,cpuhp/3,28.0,
371,0.0,1693268554,idle_inject/3,29.0,
372,36935220.0,1693268556,,,
373,30417240.0,1693268556,scaphandre,1297803.0,
374,2483039.0,1693268556,htop,1026882.0,
375,931139.0,1693268556,ilúvatar_worke,1297132.0,
376,310379.0,1693268556,rcu_sched,11.0,
377,310379.0,1693268556,systemd-journal,873.0,
378,310379.0,1693268556,kworker/6:0-events,1289757.0,
379,310379.0,1693268556,perf,1297708.0,
380,310379.0,1693268556,hwpc-sensor,1297777.0,
381,0.0,1693268556,systemd,1.0,
382,0.0,1693268556,kthreadd,2.0,
